City_ID,City,Lat,Lng,Max Temp,Humidity,Pressure,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,69.71,71.0,1015.0,48.0,13.33,PN,1718945080.0
1,christiana,-27.914,25.1611,50.56,57.0,1027.0,2.0,14.74,ZA,1718945081.0
2,giado,31.9582,12.0203,77.02,35.0,1015.0,0.0,8.03,LY,1718945082.0
3,maba,24.6841,113.5984,91.78,63.0,1004.0,83.0,8.95,CN,1718945083.0
4,stanley,54.868,-1.6985,51.53,88.0,1012.0,0.0,1.14,GB,1718945084.0
5,dudinka,69.4058,86.1778,43.36,50.0,1004.0,100.0,9.69,RU,1718945086.0
6,bethel,41.3712,-73.414,77.09,81.0,1022.0,0.0,0.0,US,1718945087.0
7,trenggalek,-8.05,111.7167,79.57,66.0,1012.0,100.0,8.7,ID,1718945088.0
8,iskateley,67.6803,53.1512,48.42,65.0,993.0,100.0,12.59,RU,1718945089.0
9,port-aux-francais,-49.35,70.2167,35.67,65.0,1021.0,5.0,2.82,TF,1718945090.0
10,port mathurin,-19.6833,63.4167,73.92,63.0,1023.0,41.0,20.02,MU,1718945091.0
11,melekeok village,7.4957,134.6367,84.76,79.0,1009.0,75.0,9.22,PW,1718945092.0
12,oakdale,44.963,-92.9649,65.32,84.0,1024.0,75.0,4.61,US,1718944926.0
13,college,64.8569,-147.8028,73.38,44.0,1011.0,75.0,9.22,US,1718945094.0
14,al jawf,29.5,38.75,91.4,20.0,1007.0,3.0,10.47,SA,1718945096.0
15,sakakah,29.9697,40.2064,94.57,11.0,1005.0,0.0,11.74,SA,1718945097.0
16,quellon,-43.1167,-73.6167,48.0,88.0,998.0,100.0,26.64,CL,1718945098.0
17,kutum,14.2,24.6667,81.34,38.0,1012.0,86.0,5.44,SD,1718945099.0
18,waitangi,-43.9535,-176.5597,47.82,84.0,1029.0,53.0,1.01,NZ,1718945100.0
19,yellowknife,62.456,-114.3525,66.72,49.0,1012.0,40.0,6.91,CA,1718945101.0
20,iranshahr,27.2025,60.6848,98.94,13.0,1003.0,0.0,0.0,IR,1718945102.0
21,lebu,-37.6167,-73.65,52.59,82.0,1006.0,100.0,20.45,CL,1718945103.0
22,cieza,38.24,-1.4199,70.07,48.0,1019.0,0.0,5.03,ES,1718945105.0
23,shats'k,51.5021,23.9381,61.88,72.0,1020.0,84.0,4.18,UA,1718945106.0
24,fale old settlement,-9.3852,-171.2468,83.39,78.0,1008.0,100.0,13.24,TK,1718945107.0
25,hermanus,-34.4187,19.2345,57.52,71.0,1013.0,7.0,14.7,ZA,1718945108.0
26,utrik,11.2278,169.8474,82.81,82.0,1009.0,90.0,17.9,MH,1718945109.0
27,blackmans bay,-43.0167,147.3167,52.74,80.0,1020.0,66.0,3.0,AU,1718945110.0
28,san antonio del estrecho,,,,,,,,,
29,ciudad de huajuapan de leon,17.8,-97.7667,65.05,89.0,1010.0,100.0,3.67,MX,1718945111.0
30,taiohae,,,,,,,,,
31,chonchi,-42.6128,-73.8092,47.41,94.0,998.0,100.0,12.15,CL,1718945115.0
32,greenville,35.6127,-77.3663,73.56,82.0,1025.0,0.0,0.0,US,1718945113.0
33,port alfred,-33.5906,26.891,67.93,37.0,1015.0,100.0,13.89,ZA,1718945117.0
34,lugus,5.7036,120.8203,82.4,77.0,1008.0,70.0,10.96,PH,1718945118.0
35,petropavlovsk-kamchatsky,53.0452,158.6483,46.99,81.0,1013.0,75.0,15.66,RU,1718945119.0
36,udachny,66.4167,112.4,50.81,66.0,1008.0,100.0,2.59,RU,1718945120.0
37,fuxin,42.0156,121.6589,86.72,45.0,999.0,96.0,13.49,CN,1718945121.0
38,pacific grove,36.6177,-121.9166,57.42,89.0,1012.0,100.0,11.99,US,1718945122.0
39,san andres,12.5847,-81.7006,80.62,89.0,1011.0,20.0,4.61,CO,1718945124.0
40,thompson,55.7435,-97.8558,51.96,87.0,1019.0,20.0,2.3,CA,1718945121.0
41,albany,42.6001,-73.9662,73.81,81.0,1023.0,99.0,1.99,US,1718944521.0
42,mogadishu,2.0371,45.3438,76.87,83.0,1015.0,75.0,10.36,SO,1718945111.0
43,nouadhibou,20.931,-17.0347,67.98,73.0,1013.0,3.0,23.02,MR,1718945128.0
44,wailua homesteads,22.0669,-159.378,84.63,84.0,1018.0,75.0,16.11,US,1718945129.0
45,ordos,,,,,,,,,
46,pailitas,8.9565,-73.6255,75.04,95.0,1011.0,100.0,2.91,CO,1718945131.0
47,puerto san carlos,,,,,,,,,
48,longyearbyen,78.2186,15.6401,49.84,43.0,1013.0,0.0,16.11,SJ,1718945097.0
49,gazli,40.1333,63.45,98.04,12.0,1002.0,15.0,6.82,UZ,1718945135.0
50,kashgar,39.4547,75.9797,79.81,34.0,1011.0,40.0,8.95,CN,1718945136.0
51,kapuskasing,49.4169,-82.4331,59.09,72.0,1027.0,75.0,2.3,CA,1718944902.0
52,okha,53.5739,142.9478,46.18,87.0,1017.0,98.0,10.78,RU,1718945138.0
53,tsiombe,-25.3,45.4833,68.67,83.0,1024.0,0.0,7.0,MG,1718945139.0
54,chui,-33.6971,-53.4616,58.21,78.0,1018.0,70.0,12.44,UY,1718945140.0
55,qamdo,31.1667,97.2333,62.8,41.0,1000.0,41.0,4.0,CN,1718945141.0
56,newman,37.3138,-121.0208,79.03,46.0,1008.0,20.0,7.2,US,1718945142.0
57,grytviken,-54.2811,-36.5092,21.24,78.0,995.0,54.0,21.63,GS,1718945144.0
58,karachi,24.9056,67.0822,93.02,46.0,999.0,40.0,11.5,PK,1718944944.0
59,san antonio,29.4241,-98.4936,79.14,94.0,1012.0,20.0,5.75,US,1718945099.0
60,lewiston orchards,46.3804,-116.9754,78.71,25.0,1012.0,0.0,4.61,US,1718945147.0
61,bilibino,68.0546,166.4372,67.59,23.0,1010.0,5.0,8.61,RU,1718945148.0
62,biltine,14.5333,20.9167,86.4,43.0,1010.0,66.0,7.96,TD,1718945149.0
63,westport,41.1415,-73.3579,75.61,81.0,1023.0,20.0,3.44,US,1718945032.0
64,tiksi,71.6872,128.8694,55.26,54.0,1012.0,95.0,3.33,RU,1718945151.0
65,cherrapunji,25.3,91.7,68.76,94.0,1005.0,80.0,2.82,IN,1718945152.0
66,ndele,8.4109,20.6473,70.97,88.0,1012.0,89.0,4.56,CF,1718945154.0
67,jalqani,12.4486,34.2186,79.29,70.0,1012.0,100.0,13.11,SD,1718945155.0
68,garden city,42.3256,-83.331,75.45,88.0,1023.0,75.0,4.61,US,1718945156.0
69,puerto ayora,-0.7393,-90.3518,70.56,100.0,1012.0,58.0,1.01,EC,1718945157.0
70,isafjordur,66.0755,-23.124,40.05,86.0,1002.0,97.0,7.81,IS,1718945158.0
71,borovskoy,53.8,64.15,71.4,63.0,999.0,72.0,15.59,KZ,1718945159.0
72,ellsworth,44.5434,-68.4195,73.49,95.0,1020.0,20.0,3.44,US,1718945160.0
73,camacupa,-12.0167,17.4833,47.62,49.0,1021.0,1.0,5.01,AO,1718945161.0
74,invercargill,-46.4,168.35,46.02,79.0,1019.0,99.0,1.99,NZ,1718945162.0
75,itaituba,-4.2761,-55.9836,79.21,69.0,1009.0,84.0,2.98,BR,1718945164.0
76,dunedin,-45.8742,170.5036,47.8,85.0,1019.0,16.0,5.99,NZ,1718945165.0
77,yass,-34.8333,148.9167,55.02,85.0,1019.0,100.0,8.32,AU,1718945166.0
78,nueva gerona,21.8833,-82.8,82.47,71.0,1015.0,100.0,11.65,CU,1718945167.0
79,sorong,-0.8833,131.25,81.01,88.0,1008.0,95.0,8.34,ID,1718945168.0
80,iqaluit,63.7506,-68.5145,38.93,80.0,1001.0,75.0,12.66,CA,1718945169.0
81,keflavik,64.0049,-22.5624,48.63,87.0,998.0,100.0,9.22,IS,1718945170.0
82,kerikeri,-35.2268,173.9474,54.97,89.0,1021.0,91.0,6.98,NZ,1718945171.0
83,crane,31.3974,-102.3501,75.36,71.0,1019.0,97.0,17.72,US,1718945172.0
84,oamaru,-45.0784,170.9801,48.38,74.0,1020.0,7.0,9.44,NZ,1718945174.0
85,ciudad guayana,8.3533,-62.6528,78.53,93.0,1012.0,92.0,4.61,VE,1718945175.0
86,sengiley,53.9622,48.7944,75.27,74.0,1000.0,1.0,4.76,RU,1718945176.0
87,kota belud,6.351,116.4305,87.48,59.0,1007.0,92.0,6.53,MY,1718945177.0
88,tinajo,29.0788,-13.7081,67.08,73.0,1019.0,100.0,23.02,ES,1718945178.0
89,afaahiti,-17.75,-149.2833,75.07,66.0,1014.0,71.0,10.31,PF,1718945179.0
90,bredasdorp,-34.5322,20.0403,52.48,60.0,1013.0,42.0,7.61,ZA,1718945180.0
91,edinburgh of the seven seas,-37.0676,-12.3116,57.45,84.0,1007.0,100.0,29.77,SH,1718945181.0
92,georgetown,5.4112,100.3354,85.93,74.0,1009.0,40.0,5.75,MY,1718944891.0
93,guerrero negro,27.9769,-114.0611,62.26,85.0,1007.0,0.0,17.18,MX,1718945104.0
94,reo,12.3167,-2.4667,83.08,63.0,1011.0,68.0,10.33,BF,1718945185.0
95,hawaiian paradise park,19.5933,-154.9731,74.71,95.0,1017.0,100.0,14.97,US,1718945186.0
96,arraial do cabo,-22.9661,-42.0278,70.88,88.0,1019.0,0.0,3.0,BR,1718945187.0
97,lihue,21.9789,-159.3672,85.24,79.0,1018.0,75.0,16.11,US,1718945188.0
98,nova sintra,14.8667,-24.7167,73.92,82.0,1013.0,89.0,25.79,CV,1718945189.0
99,mesquite,32.7668,-96.5992,84.85,73.0,1015.0,0.0,0.0,US,1718944905.0
100,yaring,6.8662,101.3689,82.92,70.0,1009.0,100.0,14.29,TH,1718945191.0
101,gazi,35.3253,25.0669,84.6,55.0,1008.0,40.0,12.66,GR,1718945193.0
102,santiago de veraguas,8.1,-80.9833,77.61,92.0,1012.0,89.0,1.01,PA,1718945194.0
103,yagry,,,,,,,,,
104,grambling,32.5276,-92.714,73.33,94.0,1021.0,0.0,0.0,US,1718945196.0
105,ola,59.5833,151.2833,52.7,87.0,1010.0,80.0,9.64,RU,1718945197.0
106,atafu village,-8.5421,-172.5159,83.75,75.0,1008.0,100.0,4.88,TK,1718945198.0
107,margate,51.3813,1.3862,53.91,96.0,1014.0,1.0,3.0,GB,1718945020.0
108,mount pearl,47.5166,-52.7813,69.33,84.0,1007.0,40.0,18.41,CA,1718945201.0
109,kailua-kona,19.6406,-155.9956,80.56,85.0,1018.0,75.0,6.91,US,1718945202.0
110,ancud,-41.8697,-73.8203,49.33,86.0,1000.0,100.0,20.89,CL,1718945182.0
111,phan rang-thap cham,11.5667,108.9833,76.59,95.0,1005.0,100.0,2.66,VN,1718945204.0
112,taipei,25.0478,121.5319,95.92,63.0,1003.0,75.0,9.22,TW,1718945041.0
113,regeneracao,-6.2378,-42.6883,72.07,67.0,1012.0,61.0,4.25,BR,1718945206.0
114,hamilton,39.1834,-84.5333,79.77,78.0,1022.0,27.0,1.99,US,1718945083.0
115,tindouf,27.6711,-8.1474,61.92,70.0,1013.0,0.0,10.87,DZ,1718945208.0
116,west island,-12.1568,96.8225,84.18,79.0,1011.0,40.0,12.66,CC,1718945210.0
117,adrar,20.5022,-10.0711,83.21,14.0,1010.0,38.0,17.29,MR,1718945211.0
118,luderitz,-26.6481,15.1594,54.18,75.0,1020.0,0.0,5.21,,1718945212.0
119,port saint john's,-31.6229,29.5448,60.48,73.0,1023.0,98.0,9.24,ZA,1718945213.0
120,smithers,54.7804,-127.1743,68.32,42.0,1015.0,20.0,6.91,CA,1718945214.0
121,queenstown,-31.8976,26.8753,49.95,39.0,1023.0,100.0,6.49,ZA,1718945215.0
122,ushuaia,-54.8,-68.3,28.06,86.0,1021.0,75.0,3.44,AR,1718945188.0
123,vila franca do campo,37.7167,-25.4333,64.89,99.0,1028.0,100.0,1.92,PT,1718945217.0
124,naze,28.3667,129.4833,81.52,75.0,1007.0,75.0,17.11,JP,1718945218.0
125,nyagan,62.1406,65.3936,73.27,50.0,997.0,76.0,4.7,RU,1718945220.0
126,vorgashor,67.5833,63.95,53.6,53.0,999.0,95.0,10.22,RU,1718945221.0
127,toropets,56.4978,31.6353,58.41,71.0,1013.0,2.0,8.72,RU,1718945222.0
128,kralendijk,12.15,-68.2667,82.38,78.0,1013.0,40.0,16.11,BQ,1718945223.0
129,jalai nur,49.45,117.7,66.51,64.0,1000.0,55.0,19.98,CN,1718945224.0
130,stuttgart,48.7823,9.177,68.5,92.0,1014.0,0.0,1.14,DE,1718945171.0
131,solnechnyy,50.7214,136.6319,51.78,74.0,1013.0,90.0,8.32,RU,1718945226.0
132,zintan,31.9223,12.252,73.22,37.0,1015.0,0.0,9.64,LY,1718945227.0
133,puerto natales,-51.7236,-72.4875,17.26,94.0,1018.0,12.0,5.82,CL,1718945228.0
134,isola di capo rizzuto,38.96,17.0933,89.19,55.0,1014.0,0.0,4.83,IT,1718945230.0
135,burang,30.25,81.1667,53.73,41.0,1011.0,33.0,8.14,CN,1718945231.0
136,avarua,-21.2078,-159.775,78.85,78.0,1008.0,75.0,12.66,CK,1718945232.0
137,whitehorse,60.7161,-135.0538,70.57,24.0,1012.0,75.0,10.36,CA,1718945233.0
138,christchurch,-43.5333,172.6333,51.91,83.0,1029.0,2.0,18.41,NZ,1718945234.0
139,gangtok,27.3333,88.6167,76.77,79.0,1007.0,100.0,3.29,IN,1718945235.0
140,jamestown,42.097,-79.2353,73.04,91.0,1024.0,0.0,0.0,US,1718945236.0
141,siwa oasis,29.2041,25.5195,84.25,41.0,1010.0,0.0,6.55,EG,1718945237.0
142,coahuayana de hidalgo,18.7,-103.6583,77.2,90.0,1007.0,100.0,0.69,MX,1718945238.0
143,taroa,8.7058,171.2275,82.96,81.0,1008.0,100.0,19.75,MH,1718945240.0
144,ribeira grande,38.5167,-28.7,65.77,87.0,1027.0,95.0,3.0,PT,1718945241.0
145,badger,64.8,-147.5333,73.31,37.0,1010.0,75.0,9.22,US,1718945242.0
146,sao tome,0.3365,6.7273,75.96,88.0,1013.0,89.0,7.74,ST,1718945243.0
147,kinkala,-4.3614,14.7644,66.97,83.0,1014.0,40.0,2.51,CG,1718945244.0
148,saipan,15.1355,145.701,90.3,62.0,1012.0,40.0,14.97,MP,1718945245.0
149,chizhou,30.6578,117.4831,79.97,94.0,1001.0,100.0,5.32,CN,1718945246.0
150,howard springs,-12.497,131.047,89.51,40.0,1011.0,27.0,9.6,AU,1718945247.0
151,igarka,67.4667,86.5833,47.39,47.0,1004.0,62.0,11.3,RU,1718945249.0
152,machico,32.7,-16.7667,66.83,75.0,1024.0,75.0,11.5,PT,1718945250.0
153,kayangel,8.0823,134.7173,83.32,75.0,1008.0,99.0,7.0,PW,1718945251.0
154,saynshand,44.8824,110.1163,66.87,36.0,994.0,15.0,30.78,MN,1718945252.0
155,qui nhon,13.7667,109.2333,89.49,58.0,1003.0,100.0,8.05,VN,1718945253.0
156,sangueya,10.7,-14.3667,73.42,92.0,1013.0,38.0,2.17,GN,1718945254.0
157,olonkinbyen,70.9221,-8.7187,32.81,98.0,997.0,100.0,2.28,SJ,1718945255.0
158,centerville,39.6284,-84.1594,78.89,82.0,1023.0,0.0,5.75,US,1718945256.0
159,gadzhiyevo,69.2551,33.3362,42.57,90.0,1000.0,100.0,14.32,RU,1718945257.0
160,tarawa,1.419,172.984,87.89,74.0,1007.0,20.0,11.5,KI,1718945259.0
161,ostersund,63.1792,14.6357,49.6,86.0,999.0,75.0,14.97,SE,1718945260.0
162,luwuk,-0.9516,122.7875,76.06,84.0,1011.0,98.0,7.14,ID,1718945261.0
163,colchani,-20.3,-66.9333,35.78,50.0,1024.0,74.0,9.89,BO,1718945262.0
164,haiku-pauwela,20.9219,-156.3051,80.22,82.0,1015.0,20.0,24.16,US,1718945263.0
165,novyy urgal,51.0736,132.5642,55.63,77.0,1010.0,100.0,5.99,RU,1718945264.0
166,bardai,11.65,7.2333,72.72,74.0,1013.0,100.0,10.2,NG,1718945265.0
167,nagqu,31.5,92.0,60.48,42.0,998.0,23.0,14.38,CN,1718945266.0
168,shakawe,-18.3667,21.85,50.22,46.0,1023.0,0.0,2.8,BW,1718945268.0
169,ilulissat,69.2167,-51.1,41.02,81.0,997.0,7.0,0.0,GL,1718945269.0
170,papatowai,-46.5619,169.4708,44.22,80.0,1019.0,84.0,5.55,NZ,1718945270.0
171,fenghuang,27.9356,109.5996,85.64,69.0,1000.0,100.0,8.19,CN,1718945271.0
172,marica,-22.9194,-42.8186,71.51,80.0,1020.0,0.0,4.03,BR,1718945272.0
173,kodiak,57.79,-152.4072,47.71,93.0,1012.0,100.0,18.41,US,1718945273.0
174,timbuktu,16.7735,-3.0074,87.3,38.0,1009.0,5.0,9.15,ML,1718945274.0
175,alotau,,,,,,,,,
176,zhelezinka,53.54,75.3072,76.3,60.0,999.0,98.0,12.03,KZ,1718945276.0
177,remire-montjoly,4.9167,-52.2667,77.04,100.0,1010.0,75.0,2.3,GF,1718945278.0
178,talnakh,69.4865,88.3972,42.26,51.0,1005.0,100.0,11.68,RU,1718945279.0
179,katsuura,35.1333,140.3,66.22,98.0,1002.0,100.0,23.33,JP,1718945280.0
180,kruisfontein,-34.0033,24.7314,64.89,37.0,1013.0,100.0,14.41,ZA,1718945281.0
181,pahrump,36.2083,-115.9839,89.65,19.0,1005.0,0.0,1.99,US,1718944986.0
182,tadine,-21.55,167.8833,72.64,58.0,1018.0,10.0,14.72,NC,1718945283.0
183,tura,25.5198,90.2201,84.04,85.0,1003.0,79.0,3.62,IN,1718945284.0
184,argo,37.6333,22.7333,87.78,29.0,1014.0,0.0,13.49,GR,1718945285.0
185,kosciusko,33.0576,-89.5876,73.02,84.0,1021.0,100.0,4.76,US,1718945223.0
186,jarabulus,36.8175,38.0111,89.94,30.0,1003.0,0.0,4.88,SY,1718945288.0
187,ust-nera,64.5667,143.2,78.26,31.0,1008.0,98.0,10.11,RU,1718945289.0
188,porto novo,6.4965,2.6036,76.68,91.0,1013.0,88.0,4.34,BJ,1718945290.0
189,pisco,-13.7,-76.2167,62.65,82.0,1014.0,99.0,2.3,PE,1718945291.0
190,enna,37.5588,14.2892,82.89,30.0,1051.0,0.0,2.82,IT,1718945292.0
191,bubaque,11.2833,-15.8333,80.82,80.0,1012.0,94.0,8.59,GW,1718945293.0
192,ambon,-3.6954,128.1814,80.87,95.0,1010.0,75.0,5.75,ID,1718945294.0
193,aioun,16.6614,-9.6149,90.7,22.0,1007.0,9.0,10.47,MR,1718945295.0
194,visakhapatnam,17.69,83.2093,89.49,74.0,1002.0,75.0,11.5,IN,1718945296.0
195,port elizabeth,-33.918,25.5701,67.1,63.0,1017.0,0.0,2.3,ZA,1718945249.0
196,mount hagen,-5.8581,144.2274,71.06,69.0,1010.0,89.0,2.73,PG,1718945299.0
197,guasdualito,7.2424,-70.7324,73.63,98.0,1012.0,100.0,2.08,VE,1718945300.0
198,rongelap,11.1635,166.8941,83.84,81.0,1008.0,50.0,15.03,MH,1718945301.0
199,east london,-33.0153,27.9116,67.14,42.0,1017.0,0.0,6.91,ZA,1718945302.0
200,touros,-5.1989,-35.4608,73.76,92.0,1013.0,52.0,7.87,BR,1718945303.0
201,del rio,29.3627,-100.8968,78.91,87.0,1019.0,20.0,11.5,US,1718945230.0
202,dom pedrito,-30.9828,-54.6731,62.19,97.0,1015.0,64.0,9.33,BR,1718945305.0
203,punta arenas,-53.15,-70.9167,10.51,92.0,1022.0,20.0,4.61,CL,1718945101.0
204,nuuk,64.1835,-51.7216,36.21,100.0,996.0,100.0,8.05,GL,1718945184.0
205,inirida,3.8653,-67.9239,73.49,100.0,1012.0,99.0,1.43,CO,1718945304.0
206,playas,-2.6333,-80.3833,72.37,84.0,1012.0,95.0,11.34,EC,1718945310.0
207,anadyr,64.75,177.4833,41.5,100.0,1015.0,75.0,11.18,RU,1718945311.0
208,polyarnyy,69.1989,33.4478,42.73,89.0,1000.0,100.0,14.05,RU,1718945312.0
209,tolanaro,-25.0319,46.9987,66.27,82.0,1023.0,20.0,11.5,MG,1718945313.0
210,mil'kovo,55.6078,37.7956,60.94,64.0,1010.0,0.0,12.12,RU,1718945314.0
211,hasaki,35.7333,140.8333,64.8,91.0,1004.0,100.0,14.58,JP,1718945315.0
212,aykhal,66.0,111.5,59.09,48.0,1006.0,86.0,3.58,RU,1718945316.0
213,kamloops,50.6665,-120.3192,74.39,23.0,1015.0,20.0,3.44,CA,1718945121.0
214,nemuro,43.3236,145.575,52.45,100.0,1006.0,100.0,5.91,JP,1718945319.0
215,jiuquan,39.7432,98.5174,79.34,14.0,1006.0,17.0,7.67,CN,1718945320.0
216,birjand,32.8663,59.2211,79.27,21.0,1014.0,0.0,13.8,IR,1718945230.0
217,cabo san lucas,22.8909,-109.9124,86.31,43.0,994.0,40.0,0.0,MX,1718944735.0
218,arkhangel'sk,64.5401,40.5433,53.71,100.0,989.0,100.0,20.13,RU,1718945323.0
219,mirny,62.5353,113.9611,56.79,62.0,1009.0,100.0,6.91,RU,1718945324.0
220,san patricio,28.017,-97.5169,84.83,90.0,1017.0,74.0,14.65,US,1718945325.0
221,kargil,34.5667,76.1,49.84,47.0,1010.0,98.0,9.06,IN,1718945326.0
222,patacamaya,-17.2333,-67.9167,43.83,55.0,1021.0,93.0,7.87,BO,1718945328.0
223,turbat,26.0023,63.044,108.75,8.0,997.0,0.0,24.11,PK,1718945329.0
224,salinopolis,-0.6136,-47.3561,79.63,82.0,1010.0,57.0,10.87,BR,1718945330.0
225,palmer,42.1584,-72.3287,74.07,78.0,1024.0,100.0,3.44,US,1718945331.0
226,ca mau,9.1769,105.15,84.81,74.0,1006.0,100.0,9.69,VN,1718945332.0
227,praia da vitoria,38.7333,-27.0667,63.75,94.0,1028.0,0.0,4.23,PT,1718945333.0
228,vila velha,-20.3297,-40.2925,73.35,88.0,1019.0,75.0,2.3,BR,1718945149.0
229,urangan,-25.3,152.9,67.19,78.0,1018.0,59.0,10.96,AU,1718945335.0
230,ulanhot,46.0833,122.0833,71.42,66.0,1001.0,100.0,10.18,CN,1718945337.0
231,hassi messaoud,31.6804,6.0729,84.06,28.0,1009.0,0.0,11.5,DZ,1718945338.0
