City_ID,City,Lat,Lng,Max Temp,Humidity,Pressure,Cloudiness,Wind Speed,Country,Date
0,yarmouth,41.7057,-70.2286,73.09,81.0,1022.0,20.0,12.66,US,1718665908.0
1,stanley,54.868,-1.6985,51.71,92.0,1012.0,20.0,6.91,GB,1718666197.0
2,oistins,13.0667,-59.5333,82.49,89.0,1011.0,40.0,13.8,BB,1718666198.0
3,blackmans bay,-43.0167,147.3167,43.74,94.0,1018.0,100.0,1.01,AU,1718665946.0
4,invercargill,-46.4,168.35,47.01,90.0,1024.0,47.0,10.0,NZ,1718666200.0
5,adamstown,-25.066,-130.1015,72.28,81.0,1014.0,99.0,14.29,PN,1718665921.0
6,waitangi,-43.9535,-176.5597,51.82,97.0,1013.0,93.0,8.01,NZ,1718665938.0
7,taiohae,,,,,,,,,
8,babayurt,43.6002,46.7789,76.96,78.0,1012.0,100.0,9.44,RU,1718666205.0
9,betio village,1.358,172.9211,83.48,75.0,1010.0,44.0,10.47,KI,1718666206.0
10,whitehorse,60.7161,-135.0538,77.77,20.0,1011.0,75.0,4.61,CA,1718666096.0
11,basco,20.4487,121.9702,85.53,78.0,1008.0,100.0,13.78,PH,1718666208.0
12,sitangkai,4.6628,119.3928,83.23,72.0,1009.0,100.0,4.12,PH,1718666209.0
13,bytow,54.1706,17.4919,56.21,95.0,1013.0,31.0,5.64,PL,1718666210.0
14,horta,38.5333,-28.6333,66.02,76.0,1025.0,95.0,8.01,PT,1718666211.0
15,chibougamau,49.9168,-74.3659,76.62,65.0,1011.0,100.0,5.75,CA,1718666212.0
16,hurricane,37.1753,-113.2899,96.48,11.0,1002.0,1.0,10.0,US,1718666129.0
17,bilibino,68.0546,166.4372,70.34,33.0,1013.0,56.0,4.97,RU,1718666215.0
18,perevolotskiy,51.8763,54.1938,71.8,74.0,1017.0,49.0,13.47,RU,1718666216.0
19,wailua homesteads,22.0669,-159.378,86.43,78.0,1020.0,75.0,17.27,US,1718666217.0
20,port-aux-francais,-49.35,70.2167,37.87,67.0,1000.0,27.0,26.46,TF,1718665926.0
21,grytviken,-54.2811,-36.5092,25.93,86.0,992.0,41.0,6.87,GS,1718665932.0
22,minas de marcona,-15.2119,-75.1103,53.6,89.0,1014.0,57.0,19.48,PE,1718666220.0
23,mikhaylovsk,45.1283,42.0256,71.82,68.0,1017.0,0.0,8.95,RU,1718666221.0
24,bubaque,11.2833,-15.8333,80.71,79.0,1012.0,91.0,6.31,GW,1718666223.0
25,cable beach,,,,,,,,,
26,lebu,-37.6167,-73.65,51.06,85.0,1010.0,58.0,14.56,CL,1718666225.0
